total_borrows,total_returns,on_time_returns,late_returns,damage_count,lost_count,total_fines,unpaid_fines,risk_score,risk_tier
35,16,7,9,7,3,1823257,479767,5.86,Medium
33,9,3,6,4,3,2000435,9583,4.78,Medium
30,24,2,22,0,3,2416808,574675,5.5,Medium
9,6,5,1,8,1,2814114,2633664,4.31,Medium
18,16,12,4,0,5,3448402,2944208,4.91,Medium
31,14,6,8,7,2,3256082,1497850,5.58,Medium
0,0,0,0,4,0,504925,366464,2.29,Low
4,3,3,0,2,4,2433227,946803,3.59,Medium
44,15,2,13,10,5,2176405,2095598,8.57,High
3,3,3,0,6,2,1936005,1515266,3.77,Medium
15,2,1,1,6,1,1428977,1314861,4.27,Medium
23,7,4,3,8,2,1236502,678710,5.34,Medium
15,14,3,11,6,2,1934320,468298,5.95,Medium
1,0,0,0,10,1,3776420,136149,3.82,Medium
48,16,7,9,2,3,3404041,570303,5.78,Medium
27,22,11,11,10,3,3069988,988651,6.59,High
31,4,0,4,0,0,192668,190252,4.2,Medium
26,21,20,1,7,0,794990,171929,4.07,Medium
19,15,3,12,2,3,2123576,756556,5.71,Medium
23,5,5,0,7,5,5896954,3336640,5.16,Medium
11,7,5,2,7,4,1811692,846334,4.96,Medium
49,24,17,7,4,2,2829296,1054153,4.25,Medium
34,17,7,10,0,4,1096582,806434,5.04,Medium
32,24,6,18,9,2,5592083,2660891,7.19,High
32,11,0,11,6,3,2498211,421863,6.98,High
50,14,4,10,9,0,3013486,559119,5.51,Medium
42,25,15,10,4,5,2983759,1804240,5.8,Medium
36,25,11,14,7,0,2410258,1931506,5.18,Medium
11,9,5,4,8,4,2038634,1963957,5.59,Medium
2,2,1,1,10,0,1080611,244942,4.44,Medium
0,0,0,0,6,3,4014526,2192271,4.39,Medium
32,16,13,3,6,5,5515492,5017569,6.04,High
39,22,3,19,0,4,4276733,2845376,6.63,High
9,9,0,9,3,5,3973747,3956558,7.67,High
42,20,17,3,1,2,1897943,1042137,3.28,Medium
43,21,12,9,1,0,360886,61554,2.98,Low
28,25,1,24,1,5,2813413,2147907,6.92,High
12,6,0,6,3,1,978783,935210,4.95,Medium
11,4,4,0,0,0,106469,22340,1.0,Low
30,6,1,5,3,2,1469178,851426,5.39,Medium
45,8,8,0,1,5,1493908,870793,3.42,Medium
1,0,0,0,4,4,3041577,1590346,3.33,Medium
50,47,8,39,2,2,4299855,3254449,6.04,High
49,7,0,7,7,1,1825311,605398,6.81,High
34,22,10,12,3,5,1751806,113606,5.35,Medium
22,17,2,15,0,3,1253101,1225766,5.11,Medium
16,6,3,3,0,0,335937,28930,2.16,Low
25,2,1,1,9,4,2553101,741067,6.73,High
7,1,0,1,2,3,2214895,260102,5.49,Medium
28,26,25,1,8,5,4288169,147631,5.34,Medium
25,9,3,6,6,5,4804982,1343054,6.89,High
9,6,1,5,1,2,1232865,236545,4.44,Medium
25,16,5,11,8,5,6062321,3159016,7.56,High
33,13,2,11,9,4,2521065,1726334,8.12,High
50,30,21,9,1,3,2074571,1255878,4.38,Medium
40,23,10,13,2,4,4133871,1847199,5.56,Medium
6,2,2,0,10,1,1356609,280195,3.79,Medium
3,3,1,2,9,1,1302260,1110291,5.51,Medium
49,44,36,8,1,0,1096543,1059313,2.81,Low
44,33,11,22,2,0,1342199,1230623,4.49,Medium
10,2,2,0,5,1,1871590,267291,2.45,Low
28,4,0,4,8,5,1609744,1362944,7.89,High
35,25,9,16,8,4,5084410,1330363,7.1,High
24,22,5,17,6,1,1957989,1349687,5.53,Medium
20,11,1,10,2,0,489588,103535,4.58,Medium
35,14,12,2,3,1,1441361,1047861,3.44,Medium
9,7,2,5,5,5,2337154,1345528,6.19,High
36,3,1,2,10,1,2206287,1561014,6.63,High
8,5,1,4,4,4,1437432,722648,6.19,High
23,12,5,7,1,3,1020952,583247,4.58,Medium
34,17,2,15,5,5,3044562,395065,7.22,High
48,32,15,17,2,0,671728,330322,3.78,Medium
34,15,6,9,7,4,5616417,2819648,7.26,High
47,44,13,31,1,1,820717,191812,4.21,Medium
35,1,0,1,0,1,598059,112255,4.82,Medium
17,2,2,0,8,3,1662998,610610,5.11,Medium
48,41,20,21,2,0,1045712,830997,4.07,Medium
38,33,1,32,10,0,5333840,5131991,7.73,High
31,29,26,3,0,2,713344,508522,2.56,Low
23,22,1,21,6,0,3436975,1049708,5.59,Medium
22,12,2,10,9,3,2170962,751972,7.2,High
31,12,1,11,4,2,2968129,259427,5.76,Medium
36,17,13,4,4,2,2009588,1480355,4.08,Medium
11,2,1,1,0,1,760536,485443,2.84,Low
48,38,9,29,8,1,3506610,2239155,6.7,High
12,3,0,3,6,0,1272899,782516,5.48,Medium
22,16,1,15,7,2,1977337,1646033,6.78,High
24,20,0,20,8,1,1838097,260529,6.63,High
34,15,3,12,5,3,4457886,2855825,7.52,High
40,9,0,9,4,1,1431971,714261,5.42,Medium
29,29,13,16,5,5,3313686,1573908,6.54,High
16,6,5,1,10,5,5714965,4426111,6.94,High
48,19,13,6,1,1,948217,24363,2.75,Low
19,4,4,0,3,2,2591986,394798,3.21,Medium
47,0,0,0,2,2,1779782,984348,3.39,Medium
24,16,2,14,6,4,4200958,1385049,7.18,High
21,2,2,0,8,5,5643782,2098772,5.0,Medium
12,12,8,4,4,3,1195917,1143995,4.32,Medium
18,13,5,8,5,2,1468071,692894,4.68,Medium
48,29,24,5,9,0,1940048,1545288,5.4,Medium
35,3,0,3,1,5,1829118,1775565,7.15,High
11,1,0,1,2,3,2532151,2277476,5.8,Medium
40,36,33,3,2,3,2912368,1595123,3.42,Medium
18,15,7,8,8,2,2707131,20655,5.35,Medium
11,0,0,0,6,3,1972864,949133,4.2,Medium
8,4,4,0,7,2,3676092,1989690,3.42,Medium
6,5,1,4,10,1,2318124,450400,5.71,Medium
27,14,3,11,9,5,4393426,4069305,8.13,High
13,8,8,0,10,4,3051856,1935854,5.68,Medium
30,14,14,0,8,1,3047220,1391538,3.94,Medium
18,16,3,13,5,5,4126465,3024851,7.11,High
46,23,12,11,3,2,2662691,2622977,5.23,Medium
15,3,3,0,0,5,3310863,2507506,3.44,Medium
4,3,3,0,7,2,1931710,1829074,3.4,Medium
34,5,3,2,6,1,1746169,701562,4.99,Medium
11,6,4,2,1,0,420688,171236,2.81,Low
24,23,13,10,7,0,1516153,912977,4.47,Medium
20,13,3,10,4,5,4790417,89743,6.24,High
35,23,17,6,6,0,2148763,447875,4.18,Medium
22,10,5,5,3,2,2137042,1955206,4.68,Medium
15,13,12,1,4,3,2977123,1138422,3.62,Medium
38,12,10,2,7,2,3214197,758795,4.63,Medium
44,33,1,32,0,3,4143691,3438434,6.78,High
41,24,22,2,0,1,471550,290180,2.41,Low
38,6,2,4,3,4,1262729,860665,5.62,Medium
13,3,2,1,2,3,1817797,607337,3.86,Medium
30,3,2,1,9,0,2091376,239647,4.72,Medium
4,2,0,2,1,2,1161989,289962,4.95,Medium
34,7,2,5,2,1,1639092,848964,4.73,Medium
22,19,1,18,10,0,2390237,319849,6.04,High
28,28,9,19,10,1,3788728,544392,6.32,High
42,9,8,1,10,4,2136186,386480,5.85,Medium
10,10,1,9,0,2,1750720,1700768,4.55,Medium
17,1,1,0,0,5,2559272,1904611,3.82,Medium
46,25,10,15,5,2,1616281,845457,5.37,Medium
11,8,1,7,4,4,2057019,1800200,5.89,Medium
8,0,0,0,7,2,3050968,424632,3.25,Medium
9,9,7,2,1,5,2464930,1572732,4.13,Medium
43,2,2,0,3,3,1410610,1358990,4.05,Medium
16,5,0,5,7,1,3232489,1251717,5.98,Medium
37,4,2,2,5,5,4181417,2740855,6.56,High
6,4,0,4,0,0,466218,443049,3.56,Medium
45,22,2,20,3,4,3044399,1380188,7.02,High
12,0,0,0,0,3,1597320,1030403,3.07,Medium
39,8,4,4,1,0,714278,190545,3.81,Medium
41,34,8,26,4,0,2035696,963313,5.24,Medium
8,3,3,0,7,4,4118529,2528696,5.06,Medium
49,48,45,3,7,3,1919400,1478576,4.46,Medium
26,26,18,8,10,0,2277845,1337218,4.94,Medium
1,1,0,1,2,0,314079,196594,4.07,Medium
4,2,0,2,10,3,2134794,1669745,7.79,High
28,17,3,14,3,2,707775,413757,4.47,Medium
36,17,3,14,9,0,995631,570217,6.1,High
37,16,6,10,10,1,4667930,123199,5.93,Medium
18,2,0,2,5,3,1777838,1280101,6.89,High
7,7,4,3,10,0,2423637,1336748,5.34,Medium
47,34,28,6,10,4,5687578,2128825,6.27,High
44,37,35,2,9,5,4472678,424190,5.61,Medium
0,0,0,0,2,1,714515,452115,1.99,Low
21,12,11,1,1,5,3256392,1464889,4.52,Medium
16,14,5,9,5,5,4165209,888943,6.19,High
6,0,0,0,10,0,2456237,1403864,3.33,Medium
24,8,6,2,4,1,1974380,1375544,3.53,Medium
44,3,1,2,9,1,3554239,2120677,6.58,High
3,1,0,1,4,2,1891648,582092,5.59,Medium
35,33,6,27,9,5,4237067,3222989,8.27,High
5,2,2,0,4,1,1416992,757600,2.35,Low
30,8,5,3,9,2,1275040,500827,5.13,Medium
18,2,1,1,4,3,3368292,2016307,5.51,Medium
43,27,6,21,2,2,1186300,7265,4.8,Medium
38,28,4,24,6,4,3169381,809195,6.85,High
26,8,5,3,5,0,1629710,1255300,3.78,Medium
9,2,0,2,3,3,2285314,15733,5.14,Medium
25,24,22,2,1,3,1561851,898628,2.95,Low
18,1,1,0,8,4,3366871,2396716,5.54,Medium
38,11,10,1,0,2,1619777,1026281,2.55,Low
2,1,0,1,10,0,1497580,664607,5.87,Medium
44,8,5,3,3,2,2396039,1069634,4.07,Medium
12,7,5,2,0,1,323909,246301,2.38,Low
49,24,14,10,5,2,3188717,1345649,5.76,Medium
27,4,4,0,3,3,2888356,1001675,3.46,Medium
19,10,9,1,4,0,644363,162434,2.57,Low
27,26,22,4,4,2,1649835,610777,3.44,Medium
7,1,1,0,8,0,808161,608952,3.06,Medium
40,23,23,0,0,0,117573,47356,2.1,Low
38,14,6,8,1,1,1245808,77597,3.87,Medium
0,0,0,0,5,1,1651612,1045384,3.39,Medium
2,1,0,1,4,3,1451544,78209,6.11,High
12,7,0,7,10,4,2488261,624152,7.74,High
27,26,12,14,6,0,930439,148620,4.3,Medium
48,4,4,0,2,4,1916261,1456870,4.61,Medium
24,15,9,6,2,3,2226912,166562,4.13,Medium
32,25,17,8,9,0,2993946,2304310,5.47,Medium
37,17,12,5,1,0,618532,1468,3.29,Medium
5,5,4,1,2,5,2498462,286453,3.89,Medium
43,36,17,19,9,4,7059499,5315135,8.12,High
44,12,4,8,0,2,1876151,1830942,5.07,Medium
31,27,12,15,4,1,3105134,2965483,5.3,Medium
44,4,3,1,4,2,1973550,1601582,4.72,Medium
46,12,0,12,10,4,2928249,225409,7.88,High
20,16,2,14,6,1,919035,239967,5.24,Medium
15,1,0,1,3,2,2154033,991052,5.47,Medium
20,7,3,4,2,5,1489389,738925,5.7,Medium
10,2,2,0,0,1,533046,368697,1.26,Low
36,2,2,0,7,0,1395744,836713,3.89,Medium
35,33,20,13,2,2,2027833,375595,4.19,Medium
34,26,19,7,1,1,1369509,1295689,3.6,Medium
18,12,6,6,10,5,2444491,1835775,6.91,High
19,12,4,8,3,1,1430053,582314,4.35,Medium
17,0,0,0,2,1,1229753,408548,2.31,Low
46,5,1,4,0,5,4190358,145693,5.9,Medium
40,23,3,20,2,2,3013404,1649734,5.75,Medium
48,18,1,17,1,3,3761509,3688190,6.57,High
13,7,3,4,7,2,3417932,910789,5.34,Medium
14,11,11,0,5,4,3117012,885621,4.35,Medium
30,0,0,0,8,5,2315059,298818,4.87,Medium
0,0,0,0,7,2,2825871,561548,3.9,Medium
2,2,1,1,9,1,2586287,960002,5.31,Medium
15,10,7,3,2,5,3248283,704824,4.22,Medium
22,15,2,13,4,0,1386312,596093,4.9,Medium
10,8,8,0,6,2,2224922,1832500,3.99,Medium
11,10,3,7,4,5,2815030,185541,5.46,Medium
9,8,5,3,7,2,2414555,2114346,5.02,Medium
31,20,9,11,4,5,2348038,1703728,6.15,High
15,9,4,5,0,1,1156383,568011,3.08,Medium
7,3,1,2,4,0,717621,231408,3.91,Medium
37,26,12,14,3,0,689404,468451,3.73,Medium
11,5,0,5,5,4,2910214,583526,7.02,High
23,6,0,6,2,5,3492760,259425,6.24,High
27,4,0,4,10,2,2886346,1678297,7.82,High
7,2,0,2,4,0,580936,510609,4.36,Medium
27,12,8,4,1,0,654896,107092,2.59,Low
35,30,0,30,10,3,3879602,3410019,8.53,High
25,22,1,21,5,3,5127236,4494893,7.32,High
7,1,1,0,5,0,1470269,709163,2.31,Low
49,9,0,9,4,5,3615282,2093333,7.61,High
27,10,9,1,5,4,2190963,630458,4.71,Medium
27,20,17,3,10,0,2806470,1968093,4.94,Medium
36,29,25,4,6,1,684558,347761,3.79,Medium
40,38,20,18,4,2,2386038,2310634,4.88,Medium
35,30,27,3,0,4,1806459,839934,4.09,Medium
26,17,10,7,7,1,3362598,2921339,4.99,Medium
16,3,2,1,3,4,1087235,795911,4.07,Medium
8,1,1,0,8,1,2120392,599649,2.85,Low
32,13,7,6,9,2,3888213,1725240,6.04,High
19,12,10,2,5,2,2030517,428910,3.68,Medium
12,12,5,7,0,3,925539,124232,4.21,Medium
27,11,7,4,2,5,4752316,4037746,5.93,Medium
47,38,14,24,2,1,2107994,81171,4.47,Medium
28,1,0,1,9,3,3602747,2473447,7.86,High
12,12,11,1,3,1,754298,86296,2.83,Low
45,45,22,23,5,3,3443296,1189138,6.26,High
34,26,23,3,6,2,1983083,152324,4.33,Medium
5,0,0,0,9,4,1689231,498506,4.54,Medium
17,8,2,6,3,3,1095741,662222,5.49,Medium
50,16,4,12,5,1,2928029,2338687,5.88,Medium
4,1,1,0,10,1,1693583,1380679,3.7,Medium
46,23,11,12,0,5,1720858,1452242,5.14,Medium
24,12,0,12,7,2,2735664,783258,6.52,High
1,0,0,0,6,1,2117536,1896999,3.24,Medium
9,5,4,1,10,0,949187,171999,4.61,Medium
29,18,7,11,10,4,4769205,2852889,7.32,High
49,29,12,17,8,3,1763556,1005594,7.0,High
44,6,0,6,2,5,1320255,1080402,6.92,High
4,1,0,1,1,4,919804,829311,5.04,Medium
32,31,10,21,0,2,2810602,1761201,4.42,Medium
0,0,0,0,2,5,1559202,596649,3.75,Medium
17,1,0,1,4,3,931918,240028,6.15,High
31,30,12,18,10,3,3771712,3485862,7.51,High
46,27,18,9,1,0,857419,351931,3.44,Medium
48,14,7,7,2,2,1100537,40736,4.08,Medium
10,4,2,2,3,5,2656953,1335250,5.03,Medium
20,3,3,0,6,5,1295611,209124,3.88,Medium
25,19,16,3,2,1,1070251,630368,3.11,Medium
24,3,0,3,8,0,1865906,467310,6.22,High
21,17,7,10,7,0,2036111,1384975,5.11,Medium
26,3,1,2,3,5,2288912,388742,5.49,Medium
48,26,13,13,0,5,2226495,642911,4.7,Medium
12,0,0,0,0,4,1055044,676935,2.43,Low
32,11,3,8,0,4,2065969,1685124,5.13,Medium
33,21,10,11,0,4,1084578,1026153,5.18,Medium
40,16,14,2,7,0,2096987,432859,4.04,Medium
34,9,2,7,2,1,1997475,1976180,4.89,Medium
0,0,0,0,5,3,3829399,3599300,4.21,Medium
20,0,0,0,2,4,3361488,401072,3.15,Medium
47,21,6,15,10,1,3338907,2528537,7.14,High
5,1,0,1,4,2,2137884,2095637,5.6,Medium
27,23,18,5,6,4,2396025,1387168,5.44,Medium
16,13,10,3,1,3,2057597,956010,3.2,Medium
4,4,1,3,5,2,2095756,1424150,5.55,Medium
30,11,4,7,5,2,2186266,743264,5.16,Medium
4,3,0,3,10,3,4457045,3911372,7.86,High
37,34,29,5,2,4,1905916,170534,4.48,Medium
2,0,0,0,5,0,769653,281504,2.29,Low
22,11,5,6,9,3,5232093,419503,5.98,Medium
36,6,1,5,9,3,1513865,196544,7.28,High
36,28,5,23,4,3,3315605,1812901,5.9,Medium
9,0,0,0,1,2,1912090,1082736,2.71,Low
9,5,3,2,8,1,2474266,158253,4.4,Medium
18,14,0,14,7,0,2210835,669745,5.95,Medium
16,14,14,0,2,4,1723040,1114217,3.0,Low
20,18,7,11,7,4,2900873,1659537,6.33,High
13,10,7,3,8,1,2975864,1279898,4.53,Medium
8,6,0,6,2,3,2217922,771143,5.88,Medium
45,25,8,17,2,0,1212480,406491,4.4,Medium
0,0,0,0,1,4,1121440,587536,2.7,Low
50,33,1,32,7,5,1945899,296694,8.06,High
44,33,14,19,9,4,7096043,3985853,8.2,High
12,12,1,11,0,3,1547259,915356,4.94,Medium
3,3,2,1,7,5,4262863,1461433,5.61,Medium
0,0,0,0,6,1,769677,202821,2.19,Low
48,16,16,0,6,0,1543201,780237,3.33,Medium
39,34,3,31,2,1,3643719,1915029,4.94,Medium
31,12,8,4,0,1,796378,277749,2.85,Low
33,14,8,6,3,0,446577,50713,3.74,Medium
27,22,22,0,8,0,1625231,1462182,3.02,Medium
30,28,17,11,4,4,4335171,2942050,6.06,High
7,4,1,3,0,4,1969073,1576845,4.89,Medium
38,10,4,6,4,0,1686322,988722,4.45,Medium
25,19,3,16,7,5,5099602,2037398,7.47,High
33,31,11,20,7,2,4809543,3527110,6.01,High
2,1,0,1,4,4,3206069,95335,5.87,Medium
49,46,39,7,8,2,1583705,107441,5.47,Medium
11,3,1,2,0,5,1781703,1065560,4.74,Medium
0,0,0,0,3,0,325301,125580,1.23,Low
43,21,21,0,2,5,4246357,2754036,4.77,Medium
4,2,0,2,1,4,2895683,2739894,6.11,High
29,26,20,6,7,1,2522036,91656,4.01,Medium
29,2,2,0,6,0,797260,65614,2.89,Low
16,16,15,1,8,3,1802779,166963,4.57,Medium
47,43,31,12,1,2,2429279,353153,3.46,Medium
46,27,27,0,3,5,2981157,2530200,5.0,Medium
22,20,1,19,5,0,1283071,987938,5.64,Medium
14,14,10,4,10,5,5042086,982014,6.02,High
36,15,9,6,2,0,269397,131049,2.51,Low
20,4,0,4,7,4,2653717,862839,7.5,High
13,10,7,3,2,4,2312778,1682245,5.11,Medium
1,1,1,0,1,4,1232750,1064367,2.95,Low
10,5,0,5,2,5,4783611,1106623,6.47,High
50,18,7,11,10,3,2303302,234898,6.85,High
38,4,2,2,5,4,1443403,461122,6.19,High
37,2,1,1,1,0,230535,150737,3.26,Medium
33,0,0,0,7,4,4186762,70246,4.57,Medium
37,37,24,13,0,1,985266,196936,3.3,Medium
49,14,1,13,6,4,4063422,1283531,7.36,High
33,33,21,12,1,5,1206427,348292,4.3,Medium
17,2,1,1,9,3,1302975,570178,6.17,High
29,16,11,5,5,1,1723319,1448586,4.04,Medium
14,8,2,6,1,5,4138629,1605752,5.42,Medium
26,23,13,10,1,5,4534131,3283549,6.13,High
50,11,0,11,9,5,2203374,570819,8.52,High
33,17,2,15,7,0,2132059,1950660,6.2,High
37,14,9,5,1,5,4209556,807040,4.87,Medium
32,15,15,0,6,0,1039491,343130,2.75,Low
23,7,5,2,2,5,4088189,1037886,4.91,Medium
14,11,6,5,7,2,1424809,346140,4.96,Medium
29,13,6,7,6,1,3010642,2154828,5.04,Medium
41,24,16,8,7,2,3404745,1584424,5.47,Medium
50,16,11,5,6,5,5836643,3593345,6.65,High
16,7,0,7,10,1,3207528,1099044,6.55,High
4,2,2,0,5,1,1277674,1033388,2.46,Low
28,13,1,12,6,3,4913224,2784975,7.21,High
3,1,0,1,4,2,1376941,949167,5.5,Medium
9,3,0,3,6,3,2217071,451989,6.86,High
16,6,5,1,0,1,889391,819555,2.29,Low
9,2,0,2,0,0,271825,94346,3.65,Medium
16,11,7,4,8,1,3474228,665078,4.65,Medium
19,2,1,1,4,3,1468294,1044281,4.55,Medium
23,19,7,12,4,2,3074226,717997,4.9,Medium
4,0,0,0,2,5,3447847,3077026,4.2,Medium
33,29,13,16,4,5,1629231,47599,5.85,Medium
5,5,3,2,2,2,1279911,148469,3.77,Medium
1,0,0,0,8,5,2806337,2337422,5.99,Medium
12,0,0,0,8,5,2983080,1116136,5.3,Medium
42,19,10,9,5,3,4423505,516394,5.72,Medium
42,35,21,14,0,2,1858930,1677007,4.74,Medium
47,8,5,3,6,4,4179102,2090825,5.88,Medium
10,5,2,3,6,0,2019533,520112,4.32,Medium
50,47,24,23,9,0,2363841,1103519,5.38,Medium
46,21,21,0,9,5,5603164,2704114,6.59,High
22,21,12,9,3,0,1024921,549633,3.45,Medium
15,4,1,3,7,2,3451582,1298071,5.67,Medium
30,20,1,19,5,2,1541635,1098966,6.23,High
10,1,0,1,3,1,1684451,321701,5.31,Medium
15,7,4,3,3,1,878833,1906,3.07,Medium
7,7,6,1,1,0,336169,7961,1.5,Low
3,2,2,0,1,4,2726469,2090178,2.97,Low
39,12,1,11,3,1,1465967,905721,5.54,Medium
3,0,0,0,4,1,1584829,189773,2.73,Low
24,7,6,1,7,2,2054519,1388287,3.86,Medium
2,0,0,0,5,4,3721970,342808,3.72,Medium
31,17,14,3,3,5,2072285,1129775,4.52,Medium
2,1,0,1,10,0,834500,785216,6.49,High
26,17,11,6,6,1,1412161,99764,4.09,Medium
28,13,12,1,7,4,3182729,2047298,5.29,Medium
31,14,5,9,1,4,1598684,1170933,5.26,Medium
49,30,10,20,6,0,1839642,1391449,5.72,Medium
50,37,36,1,1,4,1929893,421777,4.36,Medium
18,10,0,10,1,4,1215016,312712,5.43,Medium
20,12,7,5,7,4,3759332,2992933,5.97,Medium
4,0,0,0,1,1,1145138,859734,1.97,Low
17,0,0,0,10,0,1104037,1012884,3.57,Medium
27,27,2,25,8,4,4991223,1667832,7.93,High
41,37,18,19,0,4,3448698,2257728,5.47,Medium
21,8,6,2,8,1,1933982,1872154,4.52,Medium
20,7,4,3,0,0,278784,40297,2.3,Low
5,2,1,1,9,2,2533103,913605,5.33,Medium
0,0,0,0,9,1,2089079,912374,3.65,Medium
4,2,2,0,1,0,156496,16939,1.4,Low
40,23,11,12,5,4,4085295,2056547,5.54,Medium
11,8,8,0,5,0,1323569,443931,2.15,Low
25,16,4,12,0,0,418280,306604,3.43,Medium
45,11,7,4,6,5,2992816,2032656,6.22,High
33,31,9,22,7,0,3889794,2296446,4.81,Medium
48,14,9,5,1,2,1285862,930170,3.44,Medium
13,5,0,5,7,0,1715728,62119,5.13,Medium
25,21,11,10,8,2,4451195,4065011,6.25,High
44,27,4,23,5,4,4940648,3289986,7.36,High
26,19,2,17,4,2,2926401,1458251,5.68,Medium
8,0,0,0,8,4,4601779,1267403,4.94,Medium
25,9,0,9,10,4,5986850,1315777,8.41,High
46,39,3,36,8,2,3907731,3075319,7.67,High
21,17,7,10,0,1,1160926,149805,3.4,Medium
46,32,31,1,10,3,2822928,1854165,5.46,Medium
29,1,1,0,2,0,602629,150685,1.79,Low
42,32,24,8,8,5,5216489,377224,5.61,Medium
47,32,9,23,10,3,2011164,1918036,7.53,High
16,8,4,4,1,0,582797,479498,3.22,Medium
25,12,6,6,3,0,986435,136260,3.92,Medium
35,29,26,3,3,4,1351212,238178,4.01,Medium
0,0,0,0,1,0,327453,259418,1.44,Low
7,0,0,0,2,5,2428150,2126832,3.06,Medium
48,12,10,2,2,0,796860,234433,2.69,Low
34,25,1,24,0,2,1233089,364446,4.88,Medium
14,5,0,5,5,3,3817315,2564768,7.26,High
46,38,12,26,7,2,3710585,448934,6.2,High
21,1,0,1,2,5,1194502,560733,6.62,High
13,5,3,2,4,0,1517500,1047725,3.61,Medium
25,6,3,3,0,5,2557726,1578660,5.01,Medium
27,25,21,4,9,4,2790678,1882226,6.32,High
22,13,9,4,6,2,2090325,1743067,4.05,Medium
13,9,9,0,9,2,3966519,1449915,4.39,Medium
23,17,11,6,0,1,814858,663582,3.23,Medium
1,0,0,0,10,0,1257052,810506,2.91,Low
44,33,16,17,8,4,2310610,2078038,7.2,High
25,9,8,1,7,2,1656136,1471617,4.19,Medium
13,6,1,5,6,2,3171566,823271,5.8,Medium
50,43,19,24,9,4,4510300,1942120,7.13,High
6,0,0,0,6,5,2294539,1682964,4.97,Medium
2,2,2,0,4,5,1768531,1571897,4.05,Medium
46,2,2,0,4,0,660845,419204,3.09,Medium
22,5,5,0,10,1,3607820,821939,4.35,Medium
45,8,7,1,4,2,1434042,99244,3.55,Medium
42,5,2,3,0,1,1014535,491860,4.01,Medium
46,8,4,4,7,5,3837643,2485084,6.99,High
44,38,3,35,10,5,3281378,3276092,9.18,High
17,8,3,5,0,3,2413963,1458835,4.35,Medium
37,11,3,8,3,0,1018136,468977,4.69,Medium
34,7,1,6,8,3,4094028,2500120,7.6,High
50,7,7,0,8,3,4850981,3932613,5.77,Medium
14,1,1,0,4,3,1001578,861864,3.25,Medium
24,19,2,17,3,0,706892,611650,4.3,Medium
36,6,1,5,2,0,997859,273120,4.46,Medium
27,10,4,6,2,4,1885196,1687040,5.23,Medium
9,3,1,2,4,1,753410,99122,3.68,Medium
38,15,4,11,9,1,1159372,332548,5.73,Medium
16,3,1,2,0,4,957459,344076,5.1,Medium
38,5,4,1,4,4,3622634,621458,4.52,Medium
21,21,9,12,5,5,1980310,1388427,6.52,High
25,25,5,20,6,3,3229720,1531439,6.32,High
43,2,1,1,8,4,3794261,3363640,7.59,High
24,8,3,5,2,2,1472968,1284427,4.97,Medium
16,9,8,1,1,1,428099,355933,2.02,Low
12,10,3,7,2,4,3434739,2717956,5.09,Medium
19,17,16,1,8,2,1110302,507750,3.58,Medium
24,21,6,15,6,2,3808630,1156300,5.48,Medium
3,3,3,0,8,2,3743097,398008,4.24,Medium
9,6,4,2,1,5,2542873,1323957,4.3,Medium
2,0,0,0,4,5,3134804,1886594,4.26,Medium
